dataset,graph,n,m,algorithm,algorithmLabel,runtimeMs,ok,message,breakageType,missingMetrics,isPlane,angularResolution,aspectRatio,convexity,edgeLengthDeviation,edgeRatio,edgeOrthogonality,face,nodeUniformity,alignment,spacing
gd_collection,GD01_GD01_357_365_2,11,10,tutte,Tutte,6.155755,1,"Applied Tutte (20-vertex outer face, 1 iters)",ok,,1,0.9999999999999996,0.3249196962329067,1,0.7052064729225755,0.15715644247475113,0.5999999999999991,1,0.2727272727272728,0.29333333333333333,0.6745734687959882
gd_collection,GD01_GD01_357_365_3,25,24,tutte,Tutte,6.516747,1,"Applied Tutte (48-vertex outer face, 1 iters)",ok,,1,0.9999999999999951,0.866025403784439,1,0.42938015713871996,0.009286523248001425,0.5555555555555569,1,0.25,0.8207829648923617,0.26347121547139
gd_collection,GD01_GD01_357_365_4,9,9,tutte,Tutte,5.545924,1,"Applied Tutte (11-vertex outer face, 1 iters)",ok,,1,0.5882090911129462,0.7984979426909118,0,0.6411009563685506,0.11334350058963186,0.37874074212899955,1,0.5,0.49450549450549447,0.5213942196477989
gd_collection,GD01_GD01_45_58_14,26,35,tutte,Tutte,11.586689,1,"Applied Tutte (21-vertex outer face, 1 iters)",ok,,1,0.6509996350270403,0.9350666600361189,0.8,0.6910125711965073,0.04415051009943342,0.5369695916650743,0.7408907041206345,0.5172413793103448,0.5972972972972972,0.7255880689588138
gd_collection,GD01_GD01_45_58_2,26,35,tutte,Tutte,11.08141,1,"Applied Tutte (14-vertex outer face, 1 iters)",ok,,1,0.6516172422544599,0.9995872047654217,0.7,0.6792363750921157,0.004684013486263218,0.5006709702185566,0.7690856406159874,0.5862068965517242,0.55002457002457,0.5784908015766059
gd_collection,GD01_GD01_74_88_1,15,25,tutte,Tutte,7.675996,1,"Applied Tutte (9-vertex outer face, 1 iters)",ok,,1,0.466034204975036,0.9908876218841514,0.8181818181818182,0.8194580336334736,0.33418023108633005,0.4728184910568345,0.8325978734040356,0.7142857142857143,0.5303030303030304,0.7783707173892895
gd_collection,GD01_GD01_74_88_3,9,8,tutte,Tutte,5.007258,1,"Applied Tutte (16-vertex outer face, 1 iters)",ok,,1,0.9999999999999993,5.81357541592777e-16,1,0.7071117665139388,0.19737002543961987,0.9999999999999974,1,0.5,0.49450549450549447,0.623405448667453
gd_collection,GD02_GD02_100_111_1,5,6,tutte,Tutte,7.829047,1,"Applied Tutte (4-vertex outer face, 1 iters)",ok,,1,0.5465662381874207,0.8975516223618084,0,0.8576763641358621,0.667957443323742,0.37911682416772163,0.9999999999999996,0.6000000000000001,0.6818181818181819,0.949238167838295
gd_collection,GD02_GD02_100_111_2,5,5,tutte,Tutte,4.894538,1,"Applied Tutte (5-vertex outer face, 1 iters)",ok,,1,0.6000000000000001,0.9510565162951539,1,1,1,0.52,1,0.8,0.27777777777777796,1
gd_collection,GD02_GD02_100_111_5,5,5,tutte,Tutte,4.594424,1,"Applied Tutte (5-vertex outer face, 1 iters)",ok,,1,0.6000000000000001,0.9510565162951539,1,1,1,0.52,1,0.8,0.27777777777777796,1
